,0
BFA,0.045454545454545456
BRA,0.045454545454545456
TUR,0.045454545454545456
THA,0.045454545454545456
RWA,0.045454545454545456
RUS,0.045454545454545456
POL,0.045454545454545456
PHL,0.045454545454545456
PER,0.045454545454545456
PAK,0.045454545454545456
NER,0.045454545454545456
MYS,0.045454545454545456
MLI,0.045454545454545456
MEX,0.045454545454545456
MAR,0.045454545454545456
KEN,0.045454545454545456
IND,0.045454545454545456
IDN,0.045454545454545456
COL,0.045454545454545456
CHN,0.045454545454545456
CHL,0.045454545454545456
ZAF,0.045454545454545456
