weighting_a,weighting_b,kendall_tau,p_value,n
equal,ahp,0.9525691699604742,2.779001759345861e-17,23
equal,lasso,0.9130434782608695,1.284081560649329e-14,23
ahp,lasso,0.8972332015810277,9.272806629411898e-14,23
