sector,coef,hazard_ratio,se,p_value,hr_lower,hr_upper
education,0.3962401733984437,1.4862262266933544,0.28463399467040273,0.163890853039358,0.850754050149482,2.5963654202093496
energy,0.2839570414694674,1.3283758644519295,0.34326392721751253,0.4081086539638691,0.6778509228175538,2.603201349824458
research_innovation,0.03262560578762522,1.0331636563290973,0.2007316843356379,0.8708858181700645,0.6971175256095188,1.5312011268487526
health,-0.09106174645475848,0.9129613370329471,0.15417105445237397,0.5547522906499214,0.6748725230808248,1.2350456929436497
housing_living,0.04937899643078828,1.0506184559399594,0.2899317364893284,0.8647643879159831,0.5951887094010516,1.8545364226959817
security_stability,-0.12499910935894282,0.8824976885729197,0.16821753382713164,0.45743315991329536,0.6346387007410128,1.2271583334379166
