period,start,end,n_months,ann_return,ann_vol,sharpe
2007-2010 incl. GFC,2007-01,2010-12,47,0.19544577247510708,0.3344784458743105,0.5095867150110975
2011-2014,2011-01,2014-12,48,-0.04376831364619535,0.2335157006495555,-0.2944911774878819
2015-2019,2015-01,2019-12,60,0.07195947327932395,0.1617735779652458,0.2902790051995534
2020-2024,2020-01,2024-12,60,0.039737390910210287,0.21987635475878275,0.0670258106033187
