year,BFA,BRA,CHL,CHN,COL,IDN,IND,KEN,MAR,MEX,MLI,MYS,NER,PAK,PER,PHL,POL,RUS,SGP,THA,TUR,ZAF
1990,-151.13577908588036,40.67945739510105,-651.4102848133862,-714.5596387272781,-35.194864370057985,3.3038378295041184,8.908518035383167,16.28107434559206,-15.713436411953808,-374.9115173575374,-55.49927125016143,-461.27009106177866,31.45526559614541,-24.911469523471624,72.23608838653945,24.90079655831778,1171.4876822631632,11055.743087997587,15921.73957037109,-362.8255252167437,124.02915992723501,54.03926954767485
1991,-56.04637177058953,35.93043785281952,-213.596775037131,-620.4426381261476,-99.32696256943382,-0.18620599704718188,-12.325496021018353,18.61163288680973,63.630754659167906,-145.68579417012006,69.47560849726005,-231.51634721399932,-1.0599995517657135,-15.771246363286991,58.926951904272755,-12.64066199073659,-236.8605707947554,9069.920224001624,19182.238665939345,-86.70369678009956,-195.37059279114692,-25.645738551707836
1992,-137.0089971210325,-117.49413706105406,380.29722626768125,-490.28290661878054,186.57013821501278,-28.60683710824287,7.972702602745358,4.832781460111164,5.962660401645735,400.7265457614303,-34.90594341713563,-105.11869192975792,-20.003703979111606,71.50758760761892,-173.71861382035058,-1.9956900710585614,-610.8609931689407,4615.574870208809,24929.82295722528,161.33388927804117,-36.12235965002219,-5.70331544212786
1993,-70.3794351551453,-39.883580306266595,134.8898728727836,-310.58036624416263,189.12901428685655,-66.26584771502257,-11.162665433475468,-45.11682382633262,-156.419538619366,467.0874915189852,16.94312449149379,-151.89775469278538,27.06666909505202,0.9377964418267766,-223.4044619124361,-14.13348754148501,-888.2352155669905,2172.510782661924,31237.406873020827,225.98960977918796,484.1700217404832,-46.75729887610214
1994,148.33004616621497,88.9757735464882,-289.4503587558229,-132.78248106946194,158.22686431208058,-52.42687449919413,7.2407222550818915,-33.41622350024636,101.05171495632385,1090.6834957684587,19.4999893690956,-198.8219712994196,266.57082605256323,5.688671114405224,100.89427088220782,3.371199024491034,-817.711184953363,-1206.7169048731084,38056.637751497125,266.02333687589453,-365.53084910971666,3.5697349309593847
1995,-81.17170248070965,46.63184260787057,-105.54826970491558,-36.76970057324479,133.84394978422642,-16.124491163272978,5.58208846624666,12.86800382244337,-116.62727031095437,-895.403575348013,15.608766517942968,83.10920830309988,20.318221307957856,3.8051693073289243,152.37603393754762,-30.598731854959624,-600.0309328599451,-784.7178642293584,41116.68397680622,477.20869629428853,-239.81568095420516,-41.25690016225053
1996,18.376369171792703,10.270092101560294,-102.07159347549532,46.607224837967806,-45.591341470695625,122.27330233230441,18.073604293423614,75.66124211710576,178.46686660788328,-637.5433719536013,-30.87095951532274,581.2934297016145,-27.148014685413045,2.63399291190899,-43.34588061042632,3.9928385488019558,-406.83182236032917,-2253.7642070754264,43678.44707056425,540.3417490767624,80.27312439213529,92.8506768346524
1997,43.402110192635064,-114.36800208359273,-5.8229503501388535,196.786278278566,4.171566200973757,481.0022658896405,-33.39635137780715,-24.256094298274093,-101.83923603332369,-510.6341105071733,6.7897911229893,608.6282658083874,-47.220877322945626,-28.044579001316833,44.912477728081285,33.55789877896132,-305.1465690039531,-3035.3224988255133,46310.26430245712,-378.1410958205779,273.02545699943585,-7.484334748096444
1998,28.430237632641138,55.46550435571953,1070.8858158936418,306.52440877577965,350.6237346110265,-44.932357692387086,-33.095633019343495,3.274931237084729,52.916313295103464,450.5835575883939,3.709347636050097,-225.9834809771819,-13.317768439462043,2.2703328162574508,66.01836504123821,9.782506840652786,444.21297830602634,-4578.372023340355,43725.83210869867,-388.62327021354577,208.38306203488173,-0.7649779406965536
1999,43.46096151848724,56.43994882662628,90.47462744148652,413.66511167581393,-287.11309591845384,-235.81704817614354,47.939181405527506,64.22911503247633,-12.2020935321234,370.2248918777914,31.152867571897332,-98.50740390032297,-95.26148517843421,-1.7553436057246472,40.9722641864937,3.209592576750765,985.3984629664701,-3788.0710800023517,45542.56996289603,-119.05564041106663,-257.53682180718897,41.01465466663649
