sector,indicator,loading,pc1_explained
education,SE.ADT.LITR.ZS,0.5350855730949922,0.6513085442003711
education,SE.PRM.CMPT.ZS,0.5399567426205824,0.6513085442003711
education,SE.TER.ENRR,0.407939299300969,0.6513085442003711
education,SE.XPD.TOTL.GD.ZS,0.13765448391199667,0.6513085442003711
education,SE.PRM.ENRL.TC.ZS,0.48658700836431107,0.6513085442003711
energy,EG.ELC.ACCS.ZS,0.47635952893665157,0.7264150056687839
energy,EG.FEC.RNEW.ZS,-0.4883467350692241,0.7264150056687839
energy,EG.USE.PCAP.KG.OE,0.47340847530666375,0.7264150056687839
energy,EG.GDP.PUSE.KO.PP.KD,0.18727805812824033,0.7264150056687839
energy,EG.USE.ELEC.KH.PC,0.5247955887676796,0.7264150056687839
research_innovation,GB.XPD.RSDV.GD.ZS,0.4972269530020252,0.6584038113534332
research_innovation,SP.POP.SCIE.RD.P6,0.5216182087114593,0.6584038113534332
research_innovation,IP.JRN.ARTC.SC,0.39945938947511844,0.6584038113534332
research_innovation,TX.VAL.TECH.MF.ZS,0.30850940256512144,0.6584038113534332
research_innovation,IP.PAT.RESD,0.47532509531692896,0.6584038113534332
health,SP.DYN.LE00.IN,0.3649619409588935,0.6328482340991454
health,SP.DYN.IMRT.IN,0.3924250466311859,0.6328482340991454
health,SH.DYN.MORT,0.38291491075705414,0.6328482340991454
health,SH.XPD.CHEX.GD.ZS,0.20640239986771858,0.6328482340991454
health,SH.XPD.GHED.GD.ZS,0.2999129698211508,0.6328482340991454
health,SH.MED.PHYS.ZS,0.32126673915617704,0.6328482340991454
health,SH.MED.BEDS.ZS,0.2682405118180588,0.6328482340991454
health,SH.IMM.MEAS,0.3402300682081324,0.6328482340991454
health,WHO_UHC_INDEX,0.37776977940073747,0.6328482340991454
housing_living,EN.POP.SLUM.UR.ZS,0.5614975884821224,0.8758063143568464
housing_living,SH.H2O.BASW.ZS,0.5933934849796981,0.8758063143568464
housing_living,SH.STA.BASS.ZS,0.5767188484109137,0.8758063143568464
security_stability,VC.IHR.PSRC.P5,1.0,1.0
