strategy,factor,coefficient,r2,n
long_only,alpha,0.0012514954752890473,0.8365386795717483,155
long_only,EEM,0.731523554615745,0.8365386795717483,155
long_only,URTH,0.16816808259307386,0.8365386795717483,155
long_only,UUP,-0.5873249112208224,0.8365386795717483,155
long_only,USO,0.04099311907217551,0.8365386795717483,155
long_short,alpha,-0.00684711286408807,0.051570659500676075,155
long_short,EEM,0.3792511382119756,0.051570659500676075,155
long_short,URTH,0.16682179652839563,0.051570659500676075,155
long_short,UUP,0.29590988469390195,0.051570659500676075,155
long_short,USO,-0.038480666593338105,0.051570659500676075,155
