factor,coefficient,r2,n
alpha,0.0012257108120889784,0.8373163621690702,155
EEM,0.7103955331915254,0.8373163621690702,155
URTH,0.14787147305589401,0.8373163621690702,155
UUP,-0.5745897751333728,0.8373163621690702,155
USO,0.041704734686744196,0.8373163621690702,155
EMB,0.08625417886232857,0.8373163621690702,155
