model,mae,rmse,ig_accuracy,auc_ig,n
sectors_only,1.8442367601246106,2.430337848134445,0.8006230529595015,0.8130371900826446,321
macro_only,2.0255102040816326,2.6640080284245022,0.6938775510204082,0.732225352112676,196
full,1.8,2.429655491309748,0.6903225806451613,0.7498114630467572,155
