date,nav
2007-01-31,1.0
2007-02-28,0.9974403141397549
2007-03-31,1.0554608254960576
2007-04-30,1.0861776700312922
2007-05-31,1.168088933728336
2007-06-30,1.1638227028833141
2007-07-31,1.1544366615947355
2007-08-31,1.1348122278436295
2007-09-30,1.2645049084775422
2007-10-31,1.3430034331834857
2007-11-30,1.2269627614493337
2007-12-31,1.2223005391643254
2008-01-31,1.0795953323726466
2008-02-29,1.0769362318654916
2008-03-31,1.1318912096656657
2008-04-30,1.2028007905087703
2008-05-31,1.2178684710000982
2008-06-30,1.1117732124645434
2008-07-31,1.1046063201918517
2008-08-31,1.0078524409366876
2008-09-30,0.8725763073223491
2008-10-31,0.6297958244268893
2008-11-30,0.6091908446217508
2008-12-31,0.6582120052004475
2009-01-31,0.6021938259204781
2009-02-28,0.5884000633200722
2009-03-31,0.6798550188436998
2009-04-30,0.8202961280477482
2009-05-31,1.0812060972444821
2009-06-30,0.9982544674231415
2009-07-31,1.1327282999991657
2009-08-31,1.1284071155322943
2009-09-30,1.2594064893562371
2009-10-31,1.2497175359570443
2009-11-30,1.347902519711442
2009-12-31,1.3981458320488311
2010-01-31,1.3524828650915977
2010-02-28,1.3614714737754638
2010-03-31,1.469490153946546
2010-04-30,1.4926630345816525
2010-05-31,1.3363211661439791
2010-06-30,1.3216366175405285
2010-07-31,1.4672342070472597
2010-08-31,1.4294709628123847
2010-09-30,1.5438716732925726
2010-10-31,1.6101609197649418
2010-11-30,1.5948079512332667
2010-12-31,1.7305208103957685
2011-01-31,1.750581200412052
2011-02-28,1.7471543127466558
2011-03-31,1.8042496143926325
2011-04-30,1.8936881969468324
2011-05-31,1.8259372457755372
2011-06-30,1.7892672609201543
2011-07-31,1.8023597044941115
2011-08-31,1.5748454872506827
2011-09-30,1.2424545995617178
2011-10-31,1.4370842458452504
2011-11-30,1.3916474291290288
2011-12-31,1.269929044804485
2012-01-31,1.459645555214686
2012-02-29,1.5425215935102519
2012-03-31,1.5028572466747054
2012-04-30,1.4737846852945737
2012-05-31,1.2434575318483843
2012-06-30,1.3763952727931517
2012-07-31,1.4008374070764158
2012-08-31,1.4346025224141346
2012-09-30,1.5139893325057494
2012-10-31,1.4872168032352646
2012-11-30,1.5219908264609687
2012-12-31,1.64533149203852
2013-01-31,1.6435625410229098
2013-02-28,1.5750795442194883
2013-03-31,1.542611875665977
2013-04-30,1.544177971948596
2013-05-31,1.495379981779849
2013-06-30,1.4397896011733726
2013-07-31,1.5209726471459282
2013-08-31,1.4910279051690138
2013-09-30,1.603180116387285
2013-10-31,1.6822614909939801
2013-11-30,1.665986036238848
2013-12-31,1.6691611875632604
2014-01-31,1.526648687545547
2014-02-28,1.5817065995326394
2014-03-31,1.5748888193219555
2014-04-30,1.5737039233574832
2014-05-31,1.6331817306641905
2014-06-30,1.6465048980456722
2014-07-31,1.5868239585617532
2014-08-31,1.5868641130651835
2014-09-30,1.5390185457957657
2014-10-31,1.510354316741391
2014-11-30,1.4509092725147752
2014-12-31,1.300101781657114
2015-01-31,1.2738707919924366
2015-02-28,1.3745141052309435
2015-03-31,1.3505668503328612
2015-04-30,1.4961937583581673
2015-05-31,1.419480776107512
2015-06-30,1.3752626660307028
2015-07-31,1.3142508097540913
2015-08-31,1.2437609230678501
2015-09-30,1.1834744506149821
2015-10-31,1.23794165994488
2015-11-30,1.1774450372274528
2015-12-31,1.1375077080197435
2016-01-31,1.0746463270365383
2016-02-29,1.0991411949049508
2016-03-31,1.2487690929667077
2016-04-30,1.2577211700558524
2016-05-31,1.1845351680481828
2016-06-30,1.209114371195432
2016-07-31,1.239577542977597
2016-08-31,1.2390307021036622
2016-09-30,1.2694286111666278
2016-10-31,1.254089982350494
2016-11-30,1.251726195376169
2016-12-31,1.3163990248372888
2017-01-31,1.410346696509112
2017-02-28,1.4147110454656513
2017-03-31,1.449547255442776
2017-04-30,1.5068680905552647
2017-05-31,1.4973469901968086
2017-06-30,1.497066240177134
2017-07-31,1.57677564894181
2017-08-31,1.6406172606969693
2017-09-30,1.6412261484958943
2017-10-31,1.6647267964143462
2017-11-30,1.6747326039555215
2017-12-31,1.7060490503129113
2018-01-31,1.8494943027769166
2018-02-28,1.7579644159380416
2018-03-31,1.7203741956495913
2018-04-30,1.6964178843126894
2018-05-31,1.6294594145014571
2018-06-30,1.56314653184428
2018-07-31,1.6481969743196498
2018-08-31,1.5844400346251035
2018-09-30,1.6290866786739437
2018-10-31,1.5103581135050417
2018-11-30,1.559695020544666
2018-12-31,1.5334965938963248
2019-01-31,1.663952371496788
2019-02-28,1.6178840810870563
2019-03-31,1.6179831778435494
2019-04-30,1.6833611288271102
2019-05-31,1.6124271303056565
2019-06-30,1.7520909154443176
2019-07-31,1.692922683732103
2019-08-31,1.5988909978482433
2019-09-30,1.6043379782300904
2019-10-31,1.6853618039091869
2019-11-30,1.668136814405633
2019-12-31,1.7479889857714792
