date,nav
2008-01-31,0.996
2008-02-29,0.9951822126411115
2008-03-31,1.0121098475257768
2008-04-30,1.033244985233883
2008-05-31,1.0375597554113252
2008-06-30,1.0074306242522304
2008-07-31,1.0052657651956856
2008-08-31,0.9759149853985141
2008-09-30,0.9322517192362154
2008-10-31,0.8457903984950429
2008-11-30,0.8365664760946449
2008-12-31,0.859005638414076
2009-01-31,0.8346367312370335
2009-02-28,0.8230041649932266
2009-03-31,0.9082837744621106
2009-04-30,1.0333696830738217
2009-05-31,1.252491047629585
2009-06-30,1.1884291931006903
2009-07-31,1.2951570413442834
2009-08-31,1.2918631781753103
2009-09-30,1.3918466722777503
2009-10-31,1.384708170310801
2009-11-30,1.4572351710702924
2009-12-31,1.493447779107025
2010-01-31,1.46093077196651
2010-02-28,1.4674036660773553
2010-03-31,1.5450191908589266
2010-04-30,1.5612619097334395
2010-05-31,1.452243868714027
2010-06-30,1.364607057826577
2010-07-31,1.5555404760181797
2010-08-31,1.502213085705483
2010-09-30,1.6706729866179506
2010-10-31,1.7317975875777547
2010-11-30,1.7255742970815013
2010-12-31,1.8352948017361315
2011-01-31,1.9212937401468666
2011-02-28,1.929415757457536
2011-03-31,1.95298172776517
2011-04-30,2.0082476861679828
2011-05-31,1.9593726177183086
2011-06-30,1.9140010697780174
2011-07-31,1.887725217991356
2011-08-31,1.6774015470656058
2011-09-30,1.4058673160560433
2011-10-31,1.5676830773504664
2011-11-30,1.5248922031404697
2011-12-31,1.39001411792688
2012-01-31,1.550097950342047
2012-02-29,1.6160419049820132
2012-03-31,1.5657142639749915
2012-04-30,1.5443133005681797
2012-05-31,1.3910222226153528
2012-06-30,1.4669507162565822
2012-07-31,1.5014378858856037
2012-08-31,1.544578528205879
2012-09-30,1.5338493708011842
2012-10-31,1.5007233500974348
2012-11-30,1.4869861392930137
2012-12-31,1.5835949775215241
2013-01-31,1.521973974968895
2013-02-28,1.4612378241490522
2013-03-31,1.4147033345751128
2013-04-30,1.3815840224697424
2013-05-31,1.394480551929113
2013-06-30,1.4162058487583153
2013-07-31,1.49719924318109
2013-08-31,1.5876178130902145
2013-09-30,1.6277732109096732
2013-10-31,1.620057530490513
2013-11-30,1.641061359908631
2013-12-31,1.6516840958876067
2014-01-31,1.552722052661484
2014-02-28,1.5351791513209623
2014-03-31,1.4841366162344236
2014-04-30,1.457108958451678
2014-05-31,1.4722130081264126
2014-06-30,1.4467218100736503
2014-07-31,1.397100893976802
2014-08-31,1.356741958283136
2014-09-30,1.3284473009434519
2014-10-31,1.2776003392954032
2014-11-30,1.222198548509083
2014-12-31,1.1229695959693362
2015-01-31,1.0476698296770732
2015-02-28,1.1076684906394823
2015-03-31,1.1060233096118879
2015-04-30,1.2669442928707046
2015-05-31,1.2022893346117378
2015-06-30,1.1668207161621846
2015-07-31,1.3909922869666498
2015-08-31,0.12957773575227208
2015-09-30,0.1270096779982487
2015-10-31,0.12957374748558578
2015-11-30,0.12876885227396903
2015-12-31,0.12554231779400868
2016-01-31,0.1250910532746969
2016-02-29,0.1299152564860899
2016-03-31,0.13437530582585266
2016-04-30,0.13512015126007135
2016-05-31,0.12164964268817852
2016-06-30,0.11896747665095357
2016-07-31,0.11783744699602859
2016-08-31,0.11943166491948749
2016-09-30,0.12297589920649148
2016-10-31,0.12547856206728636
2016-11-30,0.13057709973655804
2016-12-31,0.1309306712357455
2017-01-31,0.13499551073664426
2017-02-28,0.1349327846720958
2017-03-31,0.13561294699283238
2017-04-30,0.1357225144464914
2017-05-31,0.1329234473661051
2017-06-30,0.137354660106262
2017-07-31,0.14212307618688577
2017-08-31,0.15392275704867542
2017-09-30,0.15390537454319558
2017-10-31,0.1558543510958309
2017-11-30,0.15787702682650864
2017-12-31,0.15733808789010678
2018-01-31,0.1666333474899315
2018-02-28,0.16666862832837798
2018-03-31,0.1643667404302663
2018-04-30,0.16412405666032853
2018-05-31,0.16545380552635644
2018-06-30,0.16669799365021704
2018-07-31,0.16587688491533978
2018-08-31,0.16734943852926382
2018-09-30,0.18054516089990885
