ham_h,ham_lag,kendall_tau
1,3,0.9999999999999999
1,4,0.9999999999999999
1,5,0.9999999999999999
2,3,0.9999999999999999
2,4,0.9999999999999999
2,5,0.9999999999999999
3,3,0.9999999999999999
3,4,0.9999999999999999
3,5,0.9999999999999999
