date,nav
2007-01-31,1.0
2007-02-28,0.9954524827830228
2007-03-31,1.006392537715603
2007-04-30,0.9595035188277088
2007-05-31,1.047290538000779
2007-06-30,1.070116316579152
2007-07-31,1.0839599625998366
2007-08-31,1.0447564917485443
2007-09-30,1.0980180335260716
2007-10-31,0.9972552942089725
2007-11-30,0.991298553761581
2007-12-31,1.0445607071418557
2008-01-31,1.0251282252908227
2008-02-29,1.0122940451489977
2008-03-31,1.1090477145928745
2008-04-30,1.0583564452625809
2008-05-31,1.0355240206211265
2008-06-30,1.0488742145540695
2008-07-31,1.0300440016897376
2008-08-31,0.9849012567422935
2008-09-30,0.9600321866685695
2008-10-31,0.9774450317427367
2008-11-30,0.9230970465017969
2008-12-31,0.8862609758340946
2009-01-31,0.9343543736141848
2009-02-28,0.9467274736066739
2009-03-31,0.9598472276107686
2009-04-30,1.024648148330839
2009-05-31,1.1712976513661315
2009-06-30,1.0749012920190852
2009-07-31,1.139405247061736
2009-08-31,1.0975323005861346
2009-09-30,1.1194695070201905
2009-10-31,1.1632379075413786
2009-11-30,1.1679850275329366
2009-12-31,1.2052137040883932
2010-01-31,1.2465928465437004
2010-02-28,1.2267636445265344
2010-03-31,1.196897149982501
2010-04-30,1.2077677947334509
2010-05-31,1.1138199824899704
2010-06-30,1.0832734726734483
2010-07-31,1.0793533506119375
2010-08-31,1.0877662142491815
2010-09-30,1.0901469250003986
2010-10-31,1.094136890920052
2010-11-30,1.1900304439653537
2010-12-31,1.2108068133193783
2011-01-31,1.3539308573048605
2011-02-28,1.317138299444163
2011-03-31,1.2552106238864393
2011-04-30,1.250762919119891
2011-05-31,1.2298001374590972
2011-06-30,1.2009273928127315
2011-07-31,1.1638998335305326
2011-08-31,1.054920606492242
2011-09-30,1.022187782279654
2011-10-31,1.0458886086012418
2011-11-30,1.0094013280431462
2011-12-31,0.9375777639055018
2012-01-31,1.0063117530952201
2012-02-29,1.0533030667230383
2012-03-31,1.007923327060871
2012-04-30,0.9942551815765291
2012-05-31,0.9394955771262972
2012-06-30,0.966348446045316
2012-07-31,0.9764698490278841
2012-08-31,1.01994799776281
2012-09-30,0.9946350081360734
2012-10-31,0.9663832828749863
2012-11-30,0.963033271009361
2012-12-31,1.0215974475742393
2013-01-31,0.9759930111433145
2013-02-28,0.9018482298119225
2013-03-31,0.8666943725561436
2013-04-30,0.8403512231347163
2013-05-31,0.8620557096857479
2013-06-30,0.894523023473079
2013-07-31,0.9665350923262697
2013-08-31,1.091253175589082
2013-09-30,1.10984694785553
2013-10-31,1.071809980846111
2013-11-30,1.12146082571325
2013-12-31,1.131878177989656
2014-01-31,1.0581142585466259
2014-02-28,1.010280755765337
2014-03-31,0.9492858345494762
2014-04-30,0.9315405263252924
2014-05-31,0.944225325857682
2014-06-30,0.9363847384480237
2014-07-31,0.8881760391854503
2014-08-31,0.8517394488299678
2014-09-30,0.8490857620550184
2014-10-31,0.8129475632189521
2014-11-30,0.778284368022166
2014-12-31,0.7149696801667943
2015-01-31,0.6742366356237814
2015-02-28,0.7046568279656246
2015-03-31,0.7021623800024138
2015-04-30,0.803387483695689
2015-05-31,0.7623885728218471
2015-06-30,0.7398973960965076
2015-07-31,0.8820479010557056
2015-08-31,0.08216719796303591
2015-09-30,0.08053873012427595
2015-10-31,0.08216465298878965
2015-11-30,0.08165425140044828
2015-12-31,0.07960824727303001
2016-01-31,0.07932209772440615
2016-02-29,0.08238118939401189
2016-03-31,0.0852093952969143
2016-04-30,0.0856816966576915
2016-05-31,0.07713984951531869
2016-06-30,0.07543905144895544
2016-07-31,0.0747224806394058
2016-08-31,0.07573340521855965
2016-09-30,0.07798084610577122
2016-10-31,0.07956783052716553
2016-11-30,0.08280089023754768
2016-12-31,0.08302507356999336
2017-01-31,0.08560267176998364
2017-02-28,0.0855628967795528
2017-03-31,0.08599419897052929
2017-04-30,0.0860636514687542
